																			01/04/2026 17:09:35					03/31/2026																					
	SAE EQUIPMENT RMA TRACKING												Picture																																
																																													
			QUICK SEARCH																																										
																																													
																																													
																																													
			ROW	UNIT SERIAL NUMBER	ASSET #	SECTION #	RETURNED	TENTATIVE RMA RETURN DATE	TOTAL UNITS IN RMA	TOTAL UNITS OVERDUE								ASSET TAGS																											
			-	-	-	-	-	-	12	4									UNIT TAGGED?				IF ASSIGNED, NOT LOST																						
																																													
			ROW	UNIT SERIAL NUMBER	ASSET #	SAE	SCANNER	DATE RMA SUBMITTED	I.T. HAND OFF DATE	TENTATIVE RMA RETURN DATE	RECEIVED	COMMENTS	SECTION					ASSET TAG #	YES	NO	LOST	UNIT SERIAL #	LOCKER #	DATE TAGGED																					
47			47	18339523021886	380060	TRUE	FALSE	3/31/2026	3/31/2026	9/5/2025	FALSE		4					380046	FALSE	FALSE	TRUE	18339523021229	N/A	8/16/2024																					
48			48			FALSE	FALSE			1/14/1900	FALSE		4					380047	TRUE	FALSE	FALSE	18339523020832	47	8/16/2024																					
49			49			FALSE	FALSE			1/14/1900	FALSE		4					380048	FALSE	FALSE	TRUE		N/A	8/16/2024																					
50			50			FALSE	FALSE			1/14/1900	FALSE		4					380049	FALSE	FALSE	TRUE		N/A	8/16/2024																					
51			51			FALSE	FALSE			1/14/1900	FALSE		4					380050	TRUE	FALSE	FALSE	18339523020652	50	8/16/2024																					
52			52			FALSE	FALSE			1/14/1900	FALSE		4					380051	TRUE	FALSE	FALSE	24317523022327	51	8/16/2024																					
53			53			FALSE	FALSE			1/14/1900	FALSE		4					380052	TRUE	FALSE	FALSE	18339523021773	52	8/16/2024																					
54			54			FALSE	FALSE			1/14/1900	FALSE		4					380053	TRUE	FALSE	FALSE	18339523020684	53	8/16/2024																					
55			55			FALSE	FALSE			1/14/1900	FALSE		4					380054	TRUE	FALSE	FALSE	18340523020247	54	8/16/2024																					
56			56			FALSE	FALSE			1/14/1900	FALSE		4					380055	TRUE	FALSE	FALSE	18340523020323	55	8/16/2024																					
57			57			FALSE	FALSE			1/14/1900	FALSE		4					380056	TRUE	FALSE	FALSE	18340523020066	56	8/16/2024																					
58			58			FALSE	FALSE			1/14/1900	FALSE		4					380057	TRUE	FALSE	FALSE	23327523022428	57	8/16/2024																					
59			59			FALSE	FALSE			1/14/1900	FALSE		4					380058	TRUE	FALSE	FALSE	23278523020677	58	8/16/2024																					
60			60			FALSE	FALSE			1/14/1900	FALSE		4					380059	FALSE	FALSE	TRUE	18340523020397	n/a	8/16/2024																					
61			61			FALSE	FALSE			1/14/1900	FALSE		5	SECTION 5				380060	TRUE	FALSE	FALSE	18339522302186	60	8/16/2024																					
62			62			FALSE	FALSE			1/14/1900	FALSE		5					380061	FALSE	FALSE	TRUE	18339523021154	61	8/16/2024																					
63			63			FALSE	FALSE			1/14/1900	FALSE		5					380062	TRUE	FALSE	FALSE	18339523021982	62	8/16/2024																					
64			64			FALSE	FALSE			1/14/1900	FALSE		5					380063	TRUE	FALSE	FALSE	19300523020702	63	8/16/2024																					
65			65			FALSE	FALSE			1/14/1900	FALSE		5					380064	TRUE	FALSE	FALSE	18340523020816	64	8/16/2024																					
66			66			FALSE	FALSE			1/14/1900	FALSE		5					380065	TRUE	FALSE	FALSE	18339523021154	65	8/16/2024																					
67			67			FALSE	FALSE			1/14/1900	FALSE		5					380066	TRUE	FALSE	FALSE	18339523020441	66	8/16/2024																					
68			68			FALSE	FALSE			1/14/1900	FALSE		5					380067	TRUE	FALSE	FALSE	23328523021000	67	8/16/2024																					
69			69			FALSE	FALSE			1/14/1900	FALSE		5					380068	TRUE	FALSE	FALSE	18339523021211	68	8/16/2024																					
70			70			FALSE	FALSE			1/14/1900	FALSE		5					380069	TRUE	FALSE	FALSE	18339523020477	69	8/16/2024																					
71			71			FALSE	FALSE			1/14/1900	FALSE		5					380070	TRUE	FALSE	FALSE	18339523021311	70	8/16/2024																					
72			72			FALSE	FALSE			1/14/1900	FALSE		5					380071	TRUE	FALSE	FALSE	23278523021161	71	8/16/2024																					
73			73			FALSE	FALSE			1/14/1900	FALSE		5					380072	TRUE	FALSE	FALSE	23327523022599	72	8/16/2024																					
74			74			FALSE	FALSE			1/14/1900	FALSE		5					380073	TRUE	FALSE	FALSE	19197523021202	73	8/16/2024																					
75			75			FALSE	FALSE			1/14/1900	FALSE		5					380074	FALSE	FALSE	TRUE		74	8/16/2024																					
76			76			FALSE	FALSE			1/14/1900	FALSE		6	SECTION 6				380075	TRUE	FALSE	FALSE	18339523020495	75	8/16/2024																					
77			77			FALSE	FALSE			1/14/1900	FALSE		6					380076	TRUE	FALSE	FALSE	19301523021524	76	8/16/2024																					
78			78			FALSE	FALSE			1/14/1900	FALSE		6					380077	FALSE	FALSE	TRUE	18339523021236	n/a	8/16/2024																					
79			79			FALSE	FALSE			1/14/1900	FALSE		6					380078	TRUE	FALSE	FALSE	18340523020149	78	8/16/2024																					
80			80			FALSE	FALSE			1/14/1900	FALSE		6					380079	TRUE	FALSE	FALSE	18339523020924	79	8/16/2024																					
81			81			FALSE	FALSE			1/14/1900	FALSE		6					380080	TRUE	FALSE	FALSE	18339523021121	80	8/16/2024																					
82			82			FALSE	FALSE			1/14/1900	FALSE		6					380081	FALSE	FALSE	TRUE		81	8/16/2024																					
83			83			FALSE	FALSE			1/14/1900	FALSE		6					380082	TRUE	FALSE	FALSE	18340523020823	82	8/16/2024																					
84			84			FALSE	FALSE			1/14/1900	FALSE		6					380083	FALSE	FALSE	TRUE		83	8/16/2024																					
85			85			FALSE	FALSE			1/14/1900	FALSE		6					380084	FALSE	FALSE	TRUE		84	8/16/2024																					
86			86			FALSE	FALSE			1/14/1900	FALSE		6					380085	TRUE	FALSE	FALSE	18339523020761	85	8/16/2024																					
87			87			FALSE	FALSE			1/14/1900	FALSE		6					380086	TRUE	FALSE	FALSE	18339523020635	86	8/16/2024																					
88			88			FALSE	FALSE			1/14/1900	FALSE		6					380087	TRUE	FALSE	FALSE	18340523020833	87	8/16/2024																					
89			89			FALSE	FALSE			1/14/1900	FALSE		6					380088	FALSE	FALSE	TRUE		88	8/16/2024																					
90			90			FALSE	FALSE			1/14/1900	FALSE		6					380089	FALSE	FALSE	TRUE		89	8/16/2024																					
91			91			FALSE	FALSE			1/14/1900	FALSE		7	SECTION 7					FALSE	FALSE	FALSE																								
92			92			FALSE	FALSE			1/14/1900	FALSE		7					380090	FALSE	FALSE	TRUE		90	8/16/2024																					
93			93			FALSE	FALSE			1/14/1900	FALSE		7					380091	FALSE	FALSE	TRUE			8/16/2024																					
94			94			FALSE	FALSE			1/14/1900	FALSE		7					380092	TRUE	FALSE	FALSE	18339523022147	90	8/16/2024																					
95			95			FALSE	FALSE			1/14/1900	FALSE		7					380093	TRUE	FALSE	FALSE	18340523020462	115	8/16/2024																					
96			96			FALSE	FALSE			1/14/1900	FALSE		7					380094	TRUE	FALSE	FALSE	18339523021124	114	8/16/2024																					
97			97			FALSE	FALSE			1/14/1900	FALSE		7					380095	TRUE	FALSE	FALSE	18339523021253	113	8/16/2024																					
98			98			FALSE	FALSE			1/14/1900	FALSE		7					380096	TRUE	FALSE	FALSE	18339523021249	N/A	8/16/2024																					
99			99			FALSE	FALSE			1/14/1900	FALSE		7					380097	TRUE	FALSE	FALSE	19197523021496	N/A	8/16/2024																					
100			100			FALSE	FALSE			1/14/1900	FALSE		7					380098	TRUE	FALSE	FALSE	18340523020678	N/A	8/16/2024																					
101			101			FALSE	FALSE			1/14/1900	FALSE		7						FALSE	FALSE	FALSE																								
102			102			FALSE	FALSE			1/14/1900	FALSE		7						FALSE	FALSE	FALSE																								
103			103			FALSE	FALSE			1/14/1900	FALSE		7					380099	FALSE	FALSE	TRUE			8/16/2024																					
104			104			FALSE	FALSE			1/14/1900	FALSE		7						FALSE	FALSE	FALSE																								
105			105			FALSE	FALSE			1/14/1900	FALSE		7					383260	TRUE	FALSE	FALSE	18339523021241	48	1/28/25																					
106			106			FALSE	FALSE			1/14/1900	FALSE		8	SECTION 8				383261	TRUE	FALSE	FALSE	18340523020349	49	1/28/25																					
107			107			FALSE	FALSE			1/14/1900	FALSE		8					383262	TRUE	FALSE	FALSE	24318523021026	110	1/28/25																					
108			108			FALSE	FALSE			1/14/1900	FALSE		8					383263	TRUE	FALSE	FALSE	19302523020152	111	1/28/25																					
109			109			FALSE	FALSE			1/14/1900	FALSE		8					383264	TRUE	FALSE	FALSE	18340523020513	112	1/28/25																					
110			110			FALSE	FALSE			1/14/1900	FALSE		8					383265	TRUE	FALSE	FALSE	18339523021082	0000	3/12/25																					
111			111			FALSE	FALSE			1/14/1900	FALSE		8					383266	TRUE	FALSE	FALSE	18339523021125	0000	3/12/25																					
112			112			FALSE	FALSE			1/14/1900	FALSE		8					383267	FALSE	TRUE	FALSE																								
113			113			FALSE	FALSE			1/14/1900	FALSE		8					383268	FALSE	TRUE	FALSE																								
114			114			FALSE	FALSE			1/14/1900	FALSE		8					383269	FALSE	TRUE	FALSE																								
115			115			FALSE	FALSE			1/14/1900	FALSE		8					383270	TRUE	FALSE	FALSE	18339523021229	46	12/20/26																					
116			116			FALSE	FALSE			1/14/1900	FALSE		8					383271	TRUE	FALSE	FALSE	18340523020397	59	12/20/26																					
117			117			FALSE	FALSE			1/14/1900	FALSE		8					383272	TRUE	FALSE	FALSE	18339523021236	77	2/15/26																					
118			118			FALSE	FALSE			1/14/1900	FALSE		8					383273	FALSE	TRUE	FALSE																								
119			119			FALSE	FALSE			1/14/1900	FALSE		8					383274	FALSE	TRUE	FALSE																								
120			120			FALSE	FALSE			1/14/1900	FALSE		8					383275	FALSE	TRUE	FALSE																								
121			121			FALSE	FALSE			1/14/1900	FALSE		9	SECTION 9				383276	FALSE	TRUE	FALSE																								
122			122			FALSE	FALSE			1/14/1900	FALSE		9					383277	FALSE	TRUE	FALSE																								
123			123			FALSE	FALSE			1/14/1900	FALSE		9					383278	FALSE	TRUE	FALSE																								
124			124			FALSE	FALSE			1/14/1900	FALSE		9					383279	FALSE	TRUE	FALSE																								
125			125			FALSE	FALSE			1/14/1900	FALSE		9					383280	FALSE	TRUE	FALSE																								
126			126			FALSE	FALSE			1/14/1900	FALSE		9					383281	FALSE	TRUE	FALSE																								
127			127			FALSE	FALSE			1/14/1900	FALSE		9					383282	FALSE	TRUE	FALSE																								
128			128			FALSE	FALSE			1/14/1900	FALSE		9					383283	FALSE	TRUE	FALSE																								
129			129			FALSE	FALSE			1/14/1900	FALSE		9					383284	FALSE	TRUE	FALSE																								
130			130			FALSE	FALSE			1/14/1900	FALSE		9					383285	FALSE	TRUE	FALSE																								
131			131			FALSE	FALSE			1/14/1900	FALSE		9					383286	FALSE	TRUE	FALSE																								
132			132			FALSE	FALSE			1/14/1900	FALSE		9					383287	FALSE	TRUE	FALSE																								
133			133			FALSE	FALSE			1/14/1900	FALSE		9					383288	FALSE	TRUE	FALSE																								
134			134			FALSE	FALSE			1/14/1900	FALSE		9					383289	FALSE	TRUE	FALSE																								
135			135			FALSE	FALSE			1/14/1900	FALSE		9					383290	TRUE	FALSE	FALSE	18339523021288	CC	45683																					
136			136			FALSE	FALSE			1/14/1900	FALSE		10	SECTION 10				383291	TRUE	FALSE	FALSE	24317523022356	14	11/13/25																					
137			137			FALSE	FALSE			1/14/1900	FALSE		10					383292	FALSE	TRUE	FALSE																								
138			138			FALSE	FALSE			1/14/1900	FALSE		10					383293	FALSE	TRUE	FALSE																								
139			139			FALSE	FALSE			1/14/1900	FALSE		10					383294	FALSE	TRUE	FALSE																								
140			140			FALSE	FALSE			1/14/1900	FALSE		10					383295	FALSE	TRUE	FALSE																								
141			141			FALSE	FALSE			1/14/1900	FALSE		10					383296	FALSE	TRUE	FALSE																								
142			142			FALSE	FALSE			1/14/1900	FALSE		10					383297	FALSE	TRUE	FALSE																								
143			143			FALSE	FALSE			1/14/1900	FALSE		10					383298	FALSE	TRUE	FALSE																								
144			144			FALSE	FALSE			1/14/1900	FALSE		10					383299	FALSE	TRUE	FALSE																								
145			145			FALSE	FALSE			1/14/1900	FALSE		10					383300	FALSE	TRUE	FALSE																								
146			146			FALSE	FALSE			1/14/1900	FALSE		10					383301	FALSE	TRUE	FALSE																								
147			147			FALSE	FALSE			1/14/1900	FALSE		10					383302	FALSE	TRUE	FALSE																								
148			148			FALSE	FALSE			1/14/1900	FALSE		10					383303	FALSE	TRUE	FALSE																								
149			149			FALSE	FALSE			1/14/1900	FALSE		10					383304	FALSE	TRUE	FALSE																								
150			150			FALSE	FALSE			1/14/1900	FALSE		10					383305	FALSE	TRUE	FALSE																								
151			151			FALSE	FALSE			1/14/1900	FALSE		11	SECTION 11				383306	FALSE	TRUE	FALSE																								
152			152			FALSE	FALSE			1/14/1900	FALSE		11					383307	FALSE	TRUE	FALSE																								
153			153			FALSE	FALSE			1/14/1900	FALSE		11					383308	FALSE	TRUE	FALSE																								
154			154			FALSE	FALSE			1/14/1900	FALSE		11					383309	FALSE	TRUE	FALSE																								
155			155			FALSE	FALSE			1/14/1900	FALSE		11					383310	FALSE	TRUE	FALSE																								
156			156			FALSE	FALSE			1/14/1900	FALSE		11					383311	FALSE	TRUE	FALSE																								
157			157			FALSE	FALSE			1/14/1900	FALSE		11					383312	FALSE	TRUE	FALSE																								
158			158			FALSE	FALSE			1/14/1900	FALSE		11					383313	FALSE	TRUE	FALSE																								
159			159			FALSE	FALSE			1/14/1900	FALSE		11					383314	FALSE	TRUE	FALSE																								
160			160			FALSE	FALSE			1/14/1900	FALSE		11					383315	FALSE	TRUE	FALSE																								
161			161			FALSE	FALSE			1/14/1900	FALSE		11					383316	FALSE	TRUE	FALSE																								
162			162			FALSE	FALSE			1/14/1900	FALSE		11					383317	FALSE	TRUE	FALSE																								
163			163			FALSE	FALSE			1/14/1900	FALSE		11					383318	FALSE	TRUE	FALSE																								
164			164			FALSE	FALSE			1/14/1900	FALSE		11					383319	FALSE	TRUE	FALSE																								
165			165			FALSE	FALSE			1/14/1900	FALSE		11					383320	FALSE	TRUE	FALSE																								
